nose_x,nose_y,nose_confidence,back_x,back_y,back_confidence,tail_x,tail_y,tail_confidence
460.26016,17.50916,0.8029109,450.5231,46.160744,0.7791846,431.54977,71.13665,0.34299734
460.23965,18.397465,0.8703991,450.93323,46.32791,0.87556064,430.87762,71.224335,0.3263267
460.46844,19.057467,0.8473045,450.9986,46.21194,0.89116555,430.80753,71.09605,0.28094956
461.367,20.838001,0.28883928,450.78036,46.64988,0.8151598,430.79556,70.99249,0.3824023
461.04675,24.810747,0.34329742,450.02783,46.965733,0.7544698,430.17868,69.76707,0.62859887
462.10077,25.853115,0.26938504,450.33768,47.12716,0.7423133,430.04428,69.73064,0.77208865
462.68234,26.428125,0.25117677,450.18292,46.93383,0.8040483,430.07886,69.641716,0.7725009
463.68512,27.124378,0.19901426,450.16696,46.707375,0.82411397,430.01138,69.49438,0.7696716
467.26263,28.167276,0.20903409,450.3857,46.793427,0.8540617,429.9169,69.34043,0.71282244
467.45746,28.458931,0.25088128,450.8757,47.394215,0.78518736,430.20087,69.26028,0.65115976
467.22015,27.93804,0.27814582,451.23834,47.105648,0.8373768,430.19778,69.21618,0.6501194
466.3904,27.698723,0.18894985,451.15683,47.126724,0.7913548,430.78458,69.15909,0.60931724
466.19763,27.95717,0.21227437,450.9813,46.87953,0.839437,430.74506,69.06585,0.6121624
466.93335,27.48888,0.318299,450.7709,46.832752,0.8483097,430.768,68.68003,0.6648284
467.41125,27.174343,0.3175771,451.29102,46.288765,0.9077181,430.79,68.65356,0.6228951
467.7633,27.35007,0.36879963,451.41772,46.352516,0.91477853,430.9584,68.10584,0.5783075
468.2507,27.676323,0.31984952,451.5842,46.04663,0.9283726,431.0345,67.68998,0.5779432
